"Nobel";"Country";"Year";"UniversityScore";"Popularity";"Productivity"
"no";"netherlands";1915;0;0;29.4117647058824
"no";"ukraine";1921;93.4;27.7402460675589;26.9162210338681
"no";"netherlands";1962;20;32.1000506456744;17.825311942959
"no";"united states";1914;0;6.58939553827474;8.19964349376114
"no";"united states";1947;0;0;8.9126559714795
"no";"russia";1950;0;19.9863170642184;1.7825311942959
"yes";"usa";1939;0;31.1135577463426;71.8360071301248
"no";"united kingdom";1951;96.6;13.8107356842579;32.2638146167558
"no";"united states";1913;79.4;17.336236779698;0.17825311942959
"no";"australia";1855;24.9;31.6577427221397;0.641711229946524
"no";"united states";1890;0;0;2.49554367201426
"no";"united states";1924;100;16.6297828125942;7.84313725490196
"no";"united states";1883;80.7;21.6580195106868;16.7557932263815
"no";"czech republic";1876;0;0;5.88235294117647
"yes";"united kingdom";1905;96.6;6.82094731907789;1.08499095840868
"no";"india";1952;0;26.2830727937035;42.4242424242424
"no";"united states";1943;89.6;46.1257687679232;4.81283422459893
"no";"united states";1939;100;21.1508505292841;59.0017825311943
"no";"united states";1943;0;0;10.5169340463458
"no";"united states";1969;0;16.2426855193841;22.2816399286988
"yes";"usa";1926;0;18.5398448213884;0.17825311942959
"no";"united states";1924;0;0;3.5650623885918
"no";"mexico";1905;0;0;1.60427807486631
"no";"austria";1938;0;0;11.2299465240642
"no";"austria";1956;25.3;17.9681813874064;53.2976827094474
"no";"india";1939;0;18.260821196196;1.42602495543672
"no";"austria";1916;0;0;25.1336898395722
"no";"united kingdom";1861;21;0;22.9946524064171
"no";"united states";1928;11.35;11.6438176777672;55.8718861209964
"no";"italy";1862;0;4.15744570314854;6.41711229946524
"no";"united states";1943;40.35;23.8135182818004;61.1408199643494
"no";"united states";1878;33.6;8.31489140629709;2.85204991087344
"no";"united states";1889;86.3;0;7.30837789661319
"no";"south africa";1962;0;4.15744570314854;50.9803921568627
"no";"australia";1919;36.2;8.31489140629709;8.9126559714795
"no";"austria";1924;0;14.9042869445718;10.5169340463458
"yes";"germany";1906;0;45.7033463320975;16.4556962025316
"yes";"usa";1940;0;0;52.0795660036166
"no";"israel";1956;16.3;28.1383588391612;34.5811051693405
"no";"canada";1950;54.2;13.1787910765495;60.7843137254902
"no";"united states";1892;0;0;10.5169340463458
"no";"united states";1913;79.4;6.58939553827474;25.4901960784314
"no";"united states";1924;100;0;11.9429590017825
"no";"united states";1948;0;4.15744570314854;19.0730837789661
"no";"united states";1956;93.4;4.15744570314854;30.1247771836007
"yes";"germany";1879;0;38.6131599244374;97.8609625668449
"no";"united states";1866;93.4;19.9863170642184;24.5989304812834
"no";"united states";1955;47.1;55.4190694953838;24.2424242424242
"no";"united states";1922;89.6;0;0
"no";"united states";1909;0;20.9717946565146;11.4081996434938
"no";"united states";1947;0;0;23.1729055258467
"no";"italy";1955;0;14.3823991182398;0.249554367201426
"no";"united states";1925;66.7;8.31489140629709;37.6114081996435
"no";"germany";1869;24;4.15744570314854;78.6096256684492
"no";"united states";1923;0;20.9717946565146;8.55614973262032
"no";"russia";1948;0;0;11.0516934046346
"no";"united states";1904;49.8;28.6142147718746;10.873440285205
"no";"united states";1926;47.1;19.3065799622187;50.8021390374332
"no";"china";1941;35.5;0;0.71301247771836
"yes";"usa";1931;0;40.1251983366368;30.5605786618445
"no";"united states";1928;73.3;0;11.5864527629234
"no";"germany";1947;65.9;0;19.9643493761141
"no";"united states";1923;31.9;6.58939553827474;27.6292335115865
"no";"hungary";1925;0;22.963908920284;13.7254901960784
"no";"germany";1889;0;4.15744570314854;38.1461675579323
"no";"australia";1936;0;8.31489140629709;0.281639928698752
"no";"united states";1937;47.1;19.9863170642184;53.8324420677362
"no";"netherlands";1907;9.4;0;24.0641711229947
"no";"argentina";1930;24;4.15744570314854;26.0249554367201
"no";"canada";1949;17.2;33.7540566769106;67.7361853832442
"no";"belgium";1965;0;8.31489140629709;48.6631016042781
"no";"spain";1951;0;0;0.231729055258467
"no";"netherlands";1970;0;16.9934048261356;32.0855614973262
"no";"united states";1920;66.7;6.58939553827474;72.9055258467023
"no";"malaysia";1966;0;0;1.7825311942959
"no";"austria";1927;9.4;21.6580195106868;36.0071301247772
"yes";"the netherlands";1865;0;33.5789222990821;10.5169340463458
"no";"italy";1931;0;28.1931348024977;21.3903743315508
"no";"united states";1917;0;0;12.9893238434164
"no";"united states";1926;80.05;9.65328998110935;10.6951871657754
"no";"united states";1875;100;10.7468412414233;1.60427807486631
"no";"united states";1870;65.9;27.0558028638672;60.427807486631
"no";"india";1924;16.3;16.9934048261356;2.85204991087344
"no";"united states";1947;80.05;23.9256323179728;90.7308377896613
"no";"austria";1939;0;0;30.1247771836007
"no";"united kingdom";1882;24.9;0;2.49554367201426
"no";"united states";1929;93.4;45.6759981848689;1.13903743315508
"no";"united kingdom";1934;0;27.5611901947893;80.9269162210339
"no";"united states";1902;0;58.2100943358072;0.213903743315508
"no";"australia";1917;13.3;0;10.3202846975089
"no";"united states";1963;0;0;0.71301247771836
"no";"united states";1927;0;0;11.5864527629234
"no";"united states";1935;100;6.58939553827474;0.17825311942959
"no";"ukraine";1878;33;20.1967922141704;2.67379679144385
"no";"united states";1923;13.3;0;0.71301247771836
"no";"united kingdom";1907;66.7;0;14.0819964349376
"yes";"prussia";1854;0;0;0.904159132007233
"no";"west sussex";1943;54.9;15.3843772059459;25.3119429590018
"no";"italy";1854;0;6.58939553827474;6.23885918003565
"no";"united kingdom";1934;20;0;9.7864768683274
"no";"united states";1903;100;0;10.1604278074866
"no";"united kingdom";1945;0;15.3843772059459;18.716577540107
"no";"united states";1939;0;6.58939553827474;5.16934046345811
"no";"south korea";1960;0;0;60.2495543672014
"no";"poland";1865;0;0;62.5668449197861
"no";"canada";1967;0;34.8727264208939;18.716577540107
"no";"australia";1867;0;8.31489140629709;1.24777183600713
"no";"united states";1924;100;0;0.355871886120996
"yes";"russia";1904;0;0;0.17825311942959
"no";"united kingdom";1976;54.9;10.7468412414233;3.38680926916221
"no";"united states";1923;33.6;31.6577427221397;81.6399286987522
"no";"netherlands";1906;14.1;0;43.8502673796791
"no";"united kingdom";1881;36.2;0;10.6951871657754
"yes";"russia";1895;33;0;0.180831826401447
"yes";"usa";1866;66.7;35.4362460297296;39.572192513369
"no";"united states";1929;65.9;28.5631682824954;17.2905525846702
"no";"new zealand";1915;80.7;17.6605279880525;1.24777183600713
"no";"united states";1905;65.9;25.5672397374349;0.35650623885918
"no";"india";1947;0;0;5.52584670231729
"no";"united kingdom";1965;0;0;23.8859180035651
"no";"south africa";1908;0;53.9701611162814;33.8680926916221
"no";"russia";1923;0;0;27.4509803921569
"no";"france";1921;28.8;4.15744570314854;8.37789661319073
"no";"united states";1858;60.7666666666667;8.31489140629709;54.0106951871658
"no";"china";1942;0;0;25.4901960784314
"no";"dorset";1907;0;28.1561939331344;92.7046263345196
"no";"united states";1926;0;9.65328998110935;5.52584670231729
"no";"united states";1907;33.8;10.7468412414233;5.3475935828877
"no";"united states";1898;89.6;6.58939553827474;7.84313725490196
"no";"united states";1900;37.6;16.2426855193841;8.37789661319073
"no";"russia";1942;0;0;0
"no";"united states";1940;80.7;23.699268612243;36.7201426024955
"no";"united states";1903;66.7;0;1.60427807486631
"no";"united states";1963;39.3;0;13.903743315508
"no";"united states";1941;93.4;26.4311772641429;46.7023172905526
"no";"india";1916;36.2;9.65328998110935;4.99108734402852
"no";"united kingdom";1967;36.2;17.9681813874064;64.349376114082
"no";"germany";1910;100;25.5672397374349;93.048128342246
"no";"united states";1968;0;21.9737727442206;64.8841354723708
"no";"united states";1901;7.7;0;0.53475935828877
"no";"united states";1928;86.3;0;21.5686274509804
"no";"hungary";1893;13.3;23.699268612243;15.8645276292335
"no";"france";1891;0;0;0.53475935828877
"yes";"usa";1945;0;0;35.2622061482821
"no";"belgium";1954;0;29.9729109169839;52.5846702317291
"no";"russia";1958;0;12.4723371094456;19.7860962566845
"no";"russia";1938;0;24.0356890993492;2.85204991087344
"no";"england";1924;0;14.3823991182398;6.23885918003565
"no";"germany";1928;0;0;85.5614973262032
"yes";"austria";1923;0;28.5116836204675;31.0160427807487
"no";"united states";1919;66.3;14.9042869445718;10.873440285205
"no";"united states";1922;80.7;25.3958587554102;31.1942959001783
"no";"united kingdom";1912;0;56.5606728752484;68.4491978609626
"no";"poland";1878;0;0;18.1818181818182
"no";"germany";1859;13.3;25.8154652138353;27.0944741532977
"no";"united states";1947;93.4;0;0.17825311942959
"no";"united states";1932;0;4.15744570314854;3.74331550802139
"no";"germany";1947;80.7;13.8107356842579;31.1942959001783
"no";"united states";1931;0;11.6714256579213;7.84313725490196
"no";"germany";1898;0;4.15744570314854;47.9500891265597
"no";"india";1957;0;34.908428468561;14.2602495543672
"no";"canada";1939;89.6;19.0617326477204;17.1122994652406
"no";"united states";1942;63.5;12.9628613946042;16.3701067615658
"no";"canada";1905;55.3;19.0617326477204;4.99108734402852
"no";"united kingdom";1954;29.3;45.5986429044433;0.183600713012478
"no";"netherlands";1957;0;10.7468412414233;0.180035650623886
"no";"poland";1934;80.7;16.6297828125942;8.02139037433155
"no";"wales";1952;0;30.365071888248;84.4919786096257
"no";"united states";1967;0;22.8320810576588;16.2210338680927
"no";"england national football team";1912;96.6;4.15744570314854;2.85204991087344
"no";"united states";1927;0;4.15744570314854;37.4331550802139
"no";"czech republic";1904;0;15.8288713610698;5.70409982174688
"no";"russia";1961;33;24.456769068726;40.6417112299465
"no";"united kingdom";1934;24.9;8.31489140629709;18.716577540107
