Theodore William Richards;Harvard University
Sir William Henry Bragg;University College
Walter Norman Haworth;Birmingham University
Arne Wilhelm Kaurin Tiselius;Uppsala University
James E. Meade;University of Cambridge
Konrad Lorenz;Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen­schaften, Forschungsstelle für Ethologie
Sir Edward Victor Appleton;Department of Scientific and Industrial Research
Robert Huber;Max-Planck-Institut für Biochemie
Kenichi Fukui;Kyoto University
Axel Hugo Theodor Theorell;Karolinska Institutet, Nobel Medical Institute
Sir John B. Gurdon;Gurdon Institute
Brian K. Kobilka;Stanford University School of Medicine
Paul C. Lauterbur;University of Illinois
Camillo Golgi;Pavia University
Tadeus Reichstein;Basel University
Roger Guillemin;The Salk Institute
Sir John Carew Eccles;Australian National University
Frédéric Joliot;Institut du Radium
Richard Kuhn;Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung
Richard Kuhn;University of Heidelberg
Serge Haroche;École Normale Supérieure
Serge Haroche;Collège de France
Norman F. Ramsey;Harvard University
Jacques Monod;Institut Pasteur
K. Barry Sharpless;The Scripps Research Institute
John Hasbrouck van Vleck;Harvard University
William E. Moerner;Stanford University
Gabriel Lippmann;Sorbonne University
William C. Campbell;Drew University
Andrew V. Schally;Veterans Administration Hospital
Allan M. Cormack;Tufts University
Schack August Steenberg Krogh;Copenhagen University
Charles Brenton Huggins;University of Chicago, Ben May Laboratory for Cancer Research
Willis Eugene Lamb;Stanford University
Chen Ning Yang;Institute for Advanced Study
Jean-Marie Lehn;Université Louis Pasteur
Jean-Marie Lehn;Collège de France
Gerardus 't Hooft;Utrecht University
Mario R. Capecchi;Howard Hughes Medical Institute
Mario R. Capecchi;University of Utah
Linda B. Buck;Fred Hutchinson Cancer Research Center
George Hoyt Whipple;University of Rochester
Roger W. Sperry;California Institute of Technology (Caltech)
Hermann Joseph Muller;Indiana University
Peter D. Mitchell;Glynn Research Laboratories
Günter Blobel;Howard Hughes Medical Institute
Günter Blobel;Rockefeller University
Ada E. Yonath;Weizmann Institute of Science
Phillip A. Sharp;Massachusetts Institute of Technology (MIT), Center for Cancer Research
Gerty Theresa Cori, née Radnitz;Washington University
Max Karl Ernst Ludwig Planck;Berlin University
Robert Andrews Millikan;California Institute of Technology (Caltech)
Salvador E. Luria;Massachusetts Institute of Technology (MIT)
F. Sherwood Rowland;University of California
Gerald M. Edelman;Rockefeller University
William Francis Giauque;University of California
Allvar Gullstrand;Uppsala University
John L. Hall;University of Colorado, JILA
John L. Hall;National Institute of Standards and Technology
J. Michael Bishop;University of California School of Medicine
Hannes Olof Gösta Alfvén;Royal Institute of Technology
Sir Martin J. Evans;Cardiff University
Otto Wallach;Goettingen University
Zhores I. Alferov;A.F. Ioffe Physico-Technical Institute
John F. Nash Jr.;Princeton University
Ulf von Euler;Karolinska Institutet
Louis Renault;Sorbonne University
Maria Goeppert Mayer;University of California
Roger B. Myerson;University of Chicago
Ryoji Noyori;Nagoya University
Bertil Ohlin;Stockholm School of Economics
Sir Nevill Francis Mott;University of Cambridge
Richard R. Ernst;Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology)
Selman Abraham Waksman;Rutgers University
William H. Stein;Rockefeller University
