Juris Hartmanis;1928;Latvia;California Institute of Technology;scientist;no
Martinus Beijerinck;1851;Netherlands;Leiden University;scientist;no
Jacobus Cornelius Kapteyn;1851;Netherlands;Utrecht University;scientist;no
Abraham (Bram) Pais;1918;Netherlands;Utrecht University;scientist;no
Walther Nernst;1864;Poland;University of Graz;scientist;no
Oskar Klein;1894;Sweden;Stockholm University;scientist;no
Carl-Gustaf Rossby;1898;Sweden;Stockholm University;scientist;no
V. Walfrid Ekman;1874;Sweden;Uppsala University;scientist;no
Anthony Giddens;1938;United Kingdom;London School of Economics;scientist;no
Charles Algernon Parsons;1854;United Kingdom;St John's College, Cambridge;scientist;no
Elihu Thomson;1853;United Kingdom;Tufts University;scientist;no
Peter Mansfield;1933;United Kingdom;University of London;scientist;no
William Thomas Tutte;1917;United Kingdom;Trinity College, Cambridge;scientist;no
Frank Watson Dyson;1868;United Kingdom;Trinity College, Cambridge;scientist;no
Elihu Thomson;1853;United Kingdom;Yale University;scientist;no
Charles R Drew;1904;United States;Amherst College;scientist;no
Grote Reber;1911;United States;Illinois Institute of Technology;scientist;no
Wes Jackson;1936;United States;North Carolina State University;scientist;no
Lewis Roberts Binford;1931;United States;University of North Carolina at Chapel Hill;scientist;no
David Bohm;1917;United States;California Institute of Technology;scientist;no
Edwin McMillan;1907;United States;California Institute of Technology;scientist;no
Gertrude Elion;1918;United States;Hunter College;scientist;no
Steven Brams;1940;United States;Massachusetts Institute of Technology;scientist;no
Charles Greeley Abbot;1872;United States;Massachusetts Institute of Technology;scientist;no
Alan Harvey Guth;1947;United States;Massachusetts Institute of Technology;scientist;no
Charles Stark Draper;1901;United States;Massachusetts Institute of Technology;scientist;no
Solomon Kullback;1907;United States;Mathematics;scientist;no
Dana Stewart Scott;1932;United States;Princeton University;scientist;no
Edwin McMillan;1907;United States;Princeton University;scientist;no
Richard E. Stearns;1936;United States;Princeton University;scientist;no
Walter Alvarez;1940;United States;Princeton University;scientist;no
Harry Hess;1906;United States;Princeton University;scientist;no
Dudley R. Herschback;1932;United States;Stanford University;scientist;no
Charles Stark Draper;1901;United States;Stanford University;scientist;no
Stanley Miller;1930;United States;University of California, Berkeley;scientist;no
Dana Stewart Scott;1932;United States;University of California, Berkeley;scientist;no
David Bohm;1917;United States;University of California, Berkeley;scientist;no
Herbert York;1921;United States;University of California, Berkeley;scientist;no
Donald Johanson;1943;United States;University of Chicago;scientist;no
Isadore Singer;1924;United States;University of Chicago;scientist;no
Saunders Mac Lane;1909;United States;University of Chicago;scientist;no
Robert S. Shankland;1908;United States;University of Chicago;scientist;no
Michael Behe;1952;United States;University of Pennsylvania;scientist;no
Charles Bachman;1924;United States;University of Pennsylvania;scientist;no
Herbert York;1921;United States;University of Rochester;scientist;no
Martha Chase;1927;United States;University of Southern California;scientist;no
Edwin Catmull;1945;United States;University of Utah;scientist;no
Saunders Mac Lane;1909;United States;Yale University;scientist;no
Gerard Kitchen O'Neill;1927;United States;Cornell University;scientist;no
Frank Press;1924;United States;City College of New York;scientist;no
Solomon Kullback;1907;United States;City College of New York;scientist;no
Abraham Sinkov;1907;United States;City College of New York;scientist;no
Charles R Drew;1904;United States;Columbia University;scientist;no
Marshall Sahlins;1930;United States;Columbia University;scientist;no
Rashid Alievich Sunyaev;1943;Uzbekistan;Moscow State University;scientist;no
Edmund Brisco Ford;1901;Cumbria;University of Oxford;scientist;no
Bernard Lovell;1913;England;University of Bristol;scientist;no
James Hopwood Jeans;1877;England;University of Cambridge;scientist;no
James Hopwood Jeans;1877;England;Merchant Taylors' School, Northwood;scientist;no
John Robert Vane;1927;England;St Catherine's College, Oxford;scientist;no
James Hopwood Jeans;1877;Lancashire;University of Cambridge;scientist;no
James Hopwood Jeans;1877;Lancashire;Merchant Taylors' School, Northwood;scientist;no
John Stewart Bell;1928;Northern Ireland;Queen's University Belfast;scientist;no
John Boyd Orr;1880;Scotland;University of Glasgow;scientist;no
John Robert Vane;1927;Worcestershire;St Catherine's College, Oxford;scientist;no
John Job Crew Bradfield;1867;Australia;Bachelor of Engineering;scientist;no
Karl Menger;1902;Austria;University of Vienna;scientist;no
Sir Peter Medawar;1915;Brazil;University of Oxford;scientist;no
William Morton Kahan;1933;Canada;University of Toronto;scientist;no
