Karl Menger;1902;austria;vienna;scientist;no
Sir Peter Medawar;1915;brazil;oxford;scientist;no
William Morton Kahan;1933;canada;toronto;scientist;no
Hsue-shen Qian;1911;china;shanghaijiaotong;scientist;no
Shing-Tung Yau;1949;china;chinesehongkong;scientist;no
Johann Radon;1887;czech republic;vienna;scientist;no
Georgios Papanikolaou;1883;greece;nationalandkapodistrianathens;scientist;no
Georgios Papanikolaou;1883;greece;ludwigmaximilianmunich;scientist;no
George Andrew Olah;1927;hungary;budapesttechnologyandeconomics;scientist;no
Peter David Lax;1926;hungary;courantinstitutemathematicalsciences;scientist;no
Peter David Lax;1926;hungary;stuyvesanthighschool;scientist;no
Humayun Abdulali;1914;japan;stxaviersmumbai;scientist;no
Walther Nernst;1864;poland;zurich;scientist;no
Walther Nernst;1864;poland;humboldtberlin;scientist;no
Joseph Rotblat;1908;poland;liverpool;scientist;no
Joseph Rotblat;1908;poland;warsaw;scientist;no
Oskar Klein;1894;sweden;norwegiannobelinstitute;scientist;no
Carl-Gustaf Rossby;1898;sweden;leipzig;scientist;no
Jean Piccard;1884;switzerland;ethzurich;scientist;no
Martin Gutzwiller;1925;switzerland;ethzurich;scientist;no
Eugen Bleuler;1857;switzerland;zurich;scientist;no
Bernard Lovell;1913;united kingdom;bristol;scientist;no
John Boyd Orr;1880;united kingdom;glasgow;scientist;no
Alexander R. Todd;1907;united kingdom;glasgow;scientist;no
Alexander R. Todd;1907;united kingdom;oxford;scientist;no
Edmund Brisco Ford;1901;united kingdom;oxford;scientist;no
Elihu Thomson;1853;united kingdom;harvard;scientist;no
Anthony Giddens;1938;united kingdom;hull;scientist;no
Lewis Fry Richardson;1881;united kingdom;durham;scientist;no
Lewis Fry Richardson;1881;united kingdom;kingscambridge;scientist;no
Anthony Giddens;1938;united kingdom;cambridge;scientist;no
James Hopwood Jeans;1877;united kingdom;cambridge;scientist;no
Lewis Fry Richardson;1881;united kingdom;boothamschool;scientist;no
Alexander R. Todd;1907;united kingdom;goethefrankfurt;scientist;no
James Hopwood Jeans;1877;united kingdom;merchanttaylorsschoolnorthwood;scientist;no
John Stewart Bell;1928;united kingdom;queensbelfast;scientist;no
Peter Mansfield;1933;united kingdom;queenmarylondon;scientist;no
John Robert Vane;1927;united kingdom;stcatherinesoxford;scientist;no
Charles Algernon Parsons;1854;united kingdom;trinitydublin;scientist;no
Frank Press;1924;united states;columbia;scientist;no
Lewis Roberts Binford;1931;united states;michigan;scientist;no
Isadore Singer;1924;united states;michigan;scientist;no
Marshall Sahlins;1930;united states;michigan;scientist;no
Dudley R. Herschback;1932;united states;harvard;scientist;no
Susan Lindquist;1949;united states;harvard;scientist;no
Richard Manning Karp;1935;united states;harvard;scientist;no
Joseph Hooton Taylor;1941;united states;harvard;scientist;no
Paul Lauterbur;1929;united states;casewesternreserve;scientist;no
Robert S. Shankland;1908;united states;casewesternreserve;scientist;no
Solomon Kullback;1907;united states;georgewashington;scientist;no
Abraham Sinkov;1907;united states;georgewashington;scientist;no
Charles R Drew;1904;united states;mcgill;scientist;no
Charles Bachman;1924;united states;michigan;scientist;no
Steven Brams;1940;united states;northwestern;scientist;no
David Bohm;1917;united states;pennsylvania;scientist;no
Wes Jackson;1936;united states;kansaswesleyan;scientist;no
W. E. B. Du Bois;1868;united states;fisk;scientist;no
Joseph Hooton Taylor;1941;united states;haverford;scientist;no
Rashid Alievich Sunyaev;1943;uzbekistan;moscowinstitutephysicsandtechnology;scientist;no
John Robert Vane;1927;england;birmingham;scientist;no
John Stewart Bell;1928;northern ireland;birmingham;scientist;no
William Ramsey;1852;scotland;strathclyde;scientist;no
John Robert Vane;1927;worcestershire;birmingham;scientist;no
Fiona Juliet Stanley;1946;australia;westernaustralia;scientist;no
Carlo Rovelli;1956;italy;padua;scientist;no
Carlo Rovelli;1956;italy;bologna;scientist;no
Carlo Rovelli;1956;italy;trento;scientist;no
Torahiko Terada;1878;japan;tokyo;scientist;no
Joseph Rotblat;1908;poland;freepolish;scientist;no
Gheorghe Marinescu;1863;romania;bucharest;scientist;no
Martin Gutzwiller;1925;switzerland;kansas;scientist;no
John Robert Vane;1927;united kingdom;birmingham;scientist;no
William Ramsey;1852;united kingdom;strathclyde;scientist;no
John Stewart Bell;1928;united kingdom;birmingham;scientist;no
Russell Alan Hulse;1950;united states;massachusettsamherst;scientist;no
Wes Jackson;1936;united states;kansas;scientist;no
Norman Borlaug;1914;united states;minnesota;scientist;no
Paul Lauterbur;1929;united states;pittsburgh;scientist;no
Arthur Holmes;1890;england national football team;royalscience;scientist;no
James Lovelock;1919;hertfordshire;londonschoolhygiene&tropicalmedicine;scientist;no
Freeman John Dyson;1923;berkshire;cornell;scientist;no
Henry Moseley;1887;dorset;trinityoxford;scientist;no
James Lovelock;1919;england;londonschoolhygiene&tropicalmedicine;scientist;no
Martin Evans;1941;gloucestershire;london;scientist;no
Martin Evans;1941;gloucestershire;christscambridge;scientist;no
Francis Crick;1916;northamptonshire;london;scientist;no
Francis Crick;1916;northamptonshire;northamptonschoolforboys;scientist;no
Alexander Fleming;1881;scotland;imperiallondon;scientist;no
Alexander Fleming;1881;scotland;westminster;scientist;no
Murray Batchelor;1961;australia;australiannational;scientist;no
Christian Koeberl;1959;austria;graz;scientist;no
Megh Nad Saha;1893;bangladesh;dhaka;scientist;no
Brian Wilson Kernighan;1942;canada;princeton;scientist;no
Gilbert Plass;1920;canada;princeton;scientist;no
Arthur Philemon Coleman;1852;canada;victoriatoronto;scientist;no
Luis Davidson San Juan;1921;cuba;havana;scientist;no
Jacques Forest;1920;france;lillenorddefrance;scientist;no
Andreas Mandelis;1952;greece;yale;scientist;no
Sultan Bashiruddin Mahmood;1938;india;manchester;scientist;no
Tathagat Avatar Tulsi;1987;india;indianinstitutescience;scientist;no
David Deutsch;1953;israel;clarecambridge;scientist;no
Amico Bignami;1862;italy;sapienzarome;scientist;no
Maarten Schmidt;1929;netherlands;leidenobservatory;scientist;no
Cornelis Bernardus van Niel;1897;netherlands;delfttechnology;scientist;no
Benoît Mandelbrot;1924;poland;paris;scientist;no
Benoît Mandelbrot;1924;poland;californiainstitutetechnology;scientist;no
Andrei Linde;1948;russia;moscow;scientist;no
Alex Rasnitsyn;1936;russia;moscow;scientist;no
Andrei Dmitrievich Sakharov;1921;russia;moscow;scientist;no
Kharrasov Mukhamet Hadisovich;1948;russia;moscow;scientist;no
Arthur Holmes;1890;united kingdom;royalscience;scientist;no
Andrew Wiles;1953;united kingdom;clarecambridge;scientist;no
Alexander Fleming;1881;united kingdom;imperiallondon;scientist;no
Martin Evans;1941;united kingdom;london;scientist;no
Francis Crick;1916;united kingdom;london;scientist;no
Martin Evans;1941;united kingdom;christscambridge;scientist;no
Alan Mathison Turing;1912;united kingdom;princeton;scientist;no
Freeman John Dyson;1923;united kingdom;cornell;scientist;no
James Lovelock;1919;united kingdom;londonschoolhygiene&tropicalmedicine;scientist;no
Henry Moseley;1887;united kingdom;trinityoxford;scientist;no
Francis Crick;1916;united kingdom;northamptonschoolforboys;scientist;no
Alexander Fleming;1881;united kingdom;westminster;scientist;no
Mary Lura Sherrill;1888;united states;randolph;scientist;no
Leonard Carmichael;1898;united states;tufts;scientist;no
Donald Ervin Knuth;1938;united states;californiainstitutetechnology;scientist;no
Edwin Grant Conklin;1863;united states;johnshopkins;scientist;no
Thomas Milton Rivers;1888;united states;johnshopkins;scientist;no
Benjamin Whorf;1897;united states;massachusettsinstitutetechnology;scientist;no
Claude E. Shannon;1916;united states;massachusettsinstitutetechnology;scientist;no
Dan Bricklin;1951;united states;massachusettsinstitutetechnology;scientist;no
Doc Edgerton;1903;united states;massachusettsinstitutetechnology;scientist;no
Charles F. Hockett;1916;united states;ohio;scientist;no
Catharine Cox;1890;united states;stanford;scientist;no
Douglas Richard Hofstadter;1945;united states;stanford;scientist;no
Bill Joy;1954;united states;californiaberkeley;scientist;no
Douglas Carl Engelbart;1925;united states;californiaberkeley;scientist;no
Craig Venter;1946;united states;californiasandiego;scientist;no
Robert M. Solovay;1938;united states;chicago;scientist;no
Patrick O. Brown;1954;united states;chicago;scientist;no
Mary Lura Sherrill;1888;united states;chicago;scientist;no
Edwin Powell Hubble;1889;united states;chicago;scientist;no
Herbert Alexander Simon;1916;united states;chicago;scientist;no
Paul J. Cohen;1934;united states;chicago;scientist;no
Vincent Duvigneaud;1901;united states;rochester;scientist;no
Alan Curtis Kay;1940;united states;utah;scientist;no
Sidney Dillon II Ripley;1913;united states;yale;scientist;no
Charles A Dinarello;1943;united states;yale;scientist;no
Charles F. Hockett;1916;united states;yale;scientist;no
Milton Harris;1906;united states;yale;scientist;no
James A. Krumhansl;1919;united states;cornell;scientist;no
Jack Balkin;1956;united states;doctorphilosophy;scientist;no
George Dantzig;1914;united states;doctorphilosophy;scientist;no
Herbet Spencer Gasser;1888;united states;johnshopkinsschoolmedicine;scientist;no
George Whipple;1878;united states;johnshopkinsschoolmedicine;scientist;no
George Dantzig;1914;united states;mastersdegree;scientist;no
